id,id_genero,titulo,resumo,lancamento,idioma_original,poster
121,"[12, 14, 28]",The Lord of the Rings: The Two Towers,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",2002-12-18,en,/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg
244786,"[18, 10402]",Whiplash,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",2014-10-10,en,/7fn624j5lj3xTme2SgiLCeuedmO.jpg
568332,[10402],Taylor Swift: Reputation Stadium Tour,"Taylor Swift takes the stage in Dallas for the Reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic.",2018-12-31,en,/u6oXUTtOuJRPdUgUuPAVVJPSKCo.jpg
652837,"[16, 18, 10749]","Josee, the Tiger and the Fish","With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.",2020-12-25,ja,/xAbSLi61npWyVs5M0yxin3dKcGO.jpg
807,"[80, 9648, 53]",Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",1995-09-22,en,/6yoghtyTpznpBik8EngEmJskVUO.jpg
27205,"[28, 878, 12]",Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",2010-07-15,en,/edv5CZvWj09upOsy2Y6IwDhK8bt.jpg
567,"[53, 9648]",Rear Window,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,1954-08-01,en,/qitnZcLP7C9DLRuPpmvZ7GiEjJN.jpg
599,[18],Sunset Boulevard,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,1950-08-10,en,/sC4Dpmn87oz9AuxZ15Lmip0Ftgr.jpg
73,[18],American History X,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",1998-07-01,en,/c2gsmSQ2Cqv8zosqKOCwRS0GFBS.jpg
18491,"[16, 878, 28]",Neon Genesis Evangelion: The End of Evangelion,"The second of two theatrically released follow-ups to the Neon Genesis Evangelion series. Comprising of two alternate episodes which were first intended to take the place of episodes 25 and 26, this finale answers many of the questions surrounding the series, while also opening up some new possibilities.",1997-07-19,ja,/j6G24dqI4WgUtChhWjfnI4lnmiK.jpg
